   38 1334    0
                   9.6769013E+00  -1.5257723E+00  -1.1065272E+00
                   9.0272229E+00  -2.9197079E+00  -2.4901883E+00
                   1.0839355E+01  -2.4850350E+00   3.1114905E-01
                   1.0884147E+01  -1.4032349E-01  -2.0555343E+00
                   7.5376559E+00  -1.3545745E-01   2.3468696E-01
                   7.9666104E+00   1.5502481E+00   1.7767374E+00
                   5.1699048E+00  -9.1433258E-01  -3.7428858E-01
                   4.8603072E+00  -2.2126764E+00  -1.7457156E+00
   1.2980000E-03   2.1688574E-01   6.0483307E+00   4.6555573E+00
   1.2941000E-02  -1.8694398E+00   5.3704425E+00   4.6555573E+00
   1.0957000E-02  -1.8694398E+00   3.1767503E+00   4.6555573E+00
  -1.0097000E-02   2.1688574E-01   2.4988622E+00   4.6555573E+00
  -1.5731000E-02   2.6595966E+00   4.2735964E+00   3.0681875E+00
  -8.3270000E-03   1.9532019E+00   6.2144017E+00   3.0681875E+00
   1.0100000E-04   1.6454600E-01   7.2470822E+00   3.0681875E+00
   1.0454000E-02  -1.8694398E+00   6.8884367E+00   3.0681875E+00
   2.7076000E-02  -3.1970271E+00   5.3062769E+00   3.0681875E+00
  -8.3000000E-04   5.7981896E-01   7.8244161E+00   1.8938834E+00
  -2.4450000E-03   2.3161351E+00   7.9904871E+00   3.0651356E-01
   5.0200000E-03   5.2747922E-01   9.0231676E+00   3.0651356E-01
   1.0805000E-02  -1.5065066E+00   8.6645222E+00   3.0651356E-01
   1.7907000E-02  -2.8340939E+00   7.0823623E+00   3.0651356E-01
   9.3300000E-04   2.3161351E+00   7.9904871E+00  -1.6555833E+00
   8.3830000E-03   5.2747922E-01   9.0231676E+00  -1.6555833E+00
   1.4185000E-02  -1.5065066E+00   8.6645222E+00  -1.6555833E+00
  -8.3400000E-04   1.8692376E+00   6.0496819E+00  -3.2429531E+00
   7.8090000E-03   5.7981896E-01   7.8244161E+00  -3.2429531E+00
   1.5259000E-02  -1.5065066E+00   7.1465279E+00  -3.2429531E+00
   7.8710000E-03   3.1728499E-03   6.0496819E+00  -3.8492755E+00
   2.1206000E-02  -3.2445650E+00   7.3968448E+00  -1.0621564E+00
   3.0945000E-02  -5.2785508E+00   7.0381994E+00  -1.0621564E+00
   4.6837000E-02  -6.6061381E+00   5.4560396E+00  -1.0621564E+00
   2.1691000E-02  -3.2445650E+00   7.3968448E+00  -3.0242532E+00
   3.0729000E-02  -5.2785508E+00   7.0381994E+00  -3.0242532E+00
   4.5562000E-02  -6.6061381E+00   5.4560396E+00  -3.0242532E+00
   2.0782000E-02  -3.1922253E+00   6.1980934E+00  -4.6116231E+00
   3.2395000E-02  -5.2785508E+00   5.5202052E+00  -4.6116231E+00
   4.0192000E-02  -5.2785508E+00   3.3265130E+00  -4.6116231E+00
   2.3270000E-02  -3.7688714E+00   4.4233591E+00  -5.2179454E+00
  -2.1040000E-03  -1.9472492E-01   1.6050066E+00  -5.1506863E+00
   1.1832000E-02  -1.4841435E+00   3.3797409E+00  -5.1506863E+00
   2.5550000E-02  -3.5704691E+00   2.7018527E+00  -5.1506863E+00
  -8.0360000E-03  -1.4841435E+00  -1.6972763E-01  -5.1506863E+00
   1.3328000E-02  -2.0607897E+00   1.6050066E+00  -5.7570087E+00
  -3.7060000E-03  -2.8658110E+00   5.3667084E-01   5.3004603E+00
  -3.9698000E-02  -9.9974631E-01   5.3667084E-01   4.6941398E+00
   9.0350000E-03  -2.2891649E+00   2.3114051E+00   4.6941398E+00
   3.2161000E-02  -5.2469792E+00   2.9405780E+00   5.2465011E+00
   2.1193000E-02  -3.3809144E+00   2.9405780E+00   4.6401806E+00
   3.0262000E-02  -4.6703331E+00   4.7153123E+00   4.6401806E+00
   4.2872000E-02  -6.7566586E+00   4.0374241E+00   4.6401806E+00
   3.2580000E-02  -4.7226728E+00   5.9140638E+00   3.0528108E+00
   4.2667000E-02  -6.7566586E+00   5.5554184E+00   3.0528108E+00
   5.9581000E-02  -8.0842459E+00   3.9732585E+00   3.0528108E+00
   3.5129000E-02  -4.7226728E+00   5.9140638E+00   1.0907139E+00
   4.5805000E-02  -6.7566586E+00   5.5554184E+00   1.0907139E+00
   5.8973000E-02  -9.4063511E+00  -4.4675125E+00  -1.5132321E+00
   4.1449000E-02  -8.0787638E+00  -6.0496724E+00  -1.5132321E+00
   2.2784000E-02  -6.0447780E+00  -6.4083178E+00  -1.5132321E+00
   4.7274000E-02  -9.4063511E+00  -4.4675125E+00  -3.4753289E+00
   3.5669000E-02  -8.0787638E+00  -6.0496724E+00  -3.4753289E+00
   2.1549000E-02  -6.0447780E+00  -6.4083178E+00  -3.4753289E+00
   4.2311000E-02  -8.0787638E+00  -2.3379860E+00  -5.0626988E+00
   3.5708000E-02  -8.0787638E+00  -4.5316782E+00  -5.0626988E+00
   2.3965000E-02  -5.9924383E+00  -5.2095664E+00  -5.0626988E+00
   3.2396000E-02  -6.5690844E+00  -3.4348321E+00  -5.6690211E+00
  -9.8000000E-05  -2.2347370E+00  -6.7142342E-01  -4.8742307E+00
   4.0190000E-02  -4.7297876E+00   2.3020623E+00  -4.8742307E+00
   5.4383000E-02  -8.0913607E+00   3.6125703E-01  -4.8742307E+00
   1.7230000E-02  -3.3880293E+00  -6.7142342E-01  -6.4616005E+00
   3.3245000E-02  -4.6774479E+00   1.1033108E+00  -6.4616005E+00
   4.0901000E-02  -6.7637734E+00   4.2542267E-01  -6.4616005E+00
   3.4063000E-02  -6.7637734E+00  -1.7682695E+00  -6.4616005E+00
   2.1883000E-02  -4.6774479E+00  -2.4461577E+00  -6.4616005E+00
   2.9611000E-02  -5.2540940E+00  -6.7142342E-01  -7.0679229E+00
  -3.2579000E-02  -2.7763042E+00  -5.5868086E+00  -9.2934456E-01
  -2.5566000E-02  -2.7763042E+00  -5.5868086E+00  -2.8914414E+00
  -1.7355000E-02  -2.7239644E+00  -4.3880571E+00  -4.4788112E+00
   3.7625000E-02  -9.4514891E+00  -4.6548411E+00   4.2486294E+00
   5.0119000E-02  -1.0779076E+01  -2.5253145E+00   2.6612595E+00
   4.3460000E-02  -1.0779076E+01  -4.5906754E+00   2.6612595E+00
   3.6716000E-02  -9.4514891E+00  -6.1728353E+00   2.6612595E+00
   2.7519000E-02  -7.4175033E+00  -6.5314807E+00   2.6612595E+00
   5.1022000E-02  -1.0779076E+01  -4.5906754E+00   6.9916271E-01
   4.2106000E-02  -9.4514891E+00  -6.1728353E+00   6.9916271E-01
   3.1852000E-02  -7.4175033E+00  -6.5314807E+00   6.9916271E-01
   5.8651000E-02  -9.4514891E+00  -4.6548411E+00  -8.8820712E-01
   6.6340000E-03  -4.6417736E+00  -3.1054793E+00   5.6846151E+00
  -4.9970000E-03  -4.0651275E+00  -4.8802136E+00   5.0782947E+00
  -4.7130000E-03  -4.1174673E+00  -6.0789650E+00   3.4909248E+00
  -5.0080000E-03  -4.1174673E+00  -6.0789650E+00   1.5288280E+00
   3.0557000E-02  -7.0535213E+00  -1.1259328E+00   7.0330423E+00
   1.8030000E-02  -5.1874566E+00  -1.1259328E+00   6.4267219E+00
   3.4766000E-02  -6.4768752E+00   6.4880151E-01   6.4267219E+00
   4.1156000E-02  -8.5632007E+00  -2.9086662E-02   6.4267219E+00
   3.5286000E-02  -8.5632007E+00  -2.2227789E+00   6.4267219E+00
   2.4874000E-02  -6.4768752E+00  -2.9006670E+00   6.4267219E+00
   3.0193000E-02  -4.7405591E+00   8.1487252E-01   4.8393520E+00
   4.9721000E-02  -6.5292149E+00   1.8475530E+00   4.8393520E+00
