   39 1410    0
                   6.6232137E+00  -4.0042613E+00  -9.5971624E-02
                   4.8917031E+00  -1.9125822E+00  -1.0343264E+00
                   6.0888219E+00   4.6195675E-01   2.2337695E-01
                   7.0975992E+00   1.2451405E-01   2.2968920E+00
                   2.1927436E+00  -2.4549525E+00  -6.8604612E-02
                   2.0335530E-01  -5.0063566E-01  -9.0304336E-01
                  -2.4518722E+00  -1.1988705E+00   9.3652930E-02
                  -4.3894461E+00   7.8922138E-01  -7.3304550E-01
                  -7.1235508E+00   3.6292188E-01   1.2010720E-01
                  -8.6976680E+00   2.5289560E+00  -8.9101714E-01
                  -8.1657498E+00  -2.0800989E+00  -9.2486780E-01
   2.2719600E-01   7.4751702E-01  -3.6386542E+00   4.5715117E+00
   2.2783200E-01   2.8338425E+00  -4.3165423E+00   4.5715117E+00
   2.3439400E-01   2.7815028E+00   4.3167767E-01   2.9841419E+00
   2.3540100E-01   7.4751702E-01  -5.1566484E+00   2.9841419E+00
   2.4956200E-01   2.7815028E+00  -5.5152938E+00   2.9841419E+00
   2.3645400E-01   7.3320990E-01   1.3768203E+00   2.9692244E+00
   2.3840500E-01   2.5992746E+00   1.3768203E+00   2.3629039E+00
   2.2549700E-01   1.3098560E+00   3.1515546E+00   2.3629039E+00
   2.4466000E-01  -7.7646762E-01   2.4736664E+00   2.3629039E+00
   2.2575900E-01   1.2575163E+00   4.3503061E+00   7.7553410E-01
   2.4336100E-01  -7.7646762E-01   3.9916606E+00   7.7553410E-01
   2.3121100E-01   1.2575163E+00   4.3503061E+00  -1.1865646E+00
   2.4374800E-01  -7.7646762E-01   3.9916606E+00  -1.1865646E+00
   2.4349200E-01   1.3098560E+00   3.1515546E+00  -2.7739344E+00
   2.6874800E-01   2.4711455E+00   1.5491388E+00  -3.9564853E+00
   2.4030500E-01   6.8248966E-01   2.5818192E+00  -3.9564853E+00
   2.4605800E-01  -1.3514942E+00   2.2231738E+00  -3.9564853E+00
   2.4588700E-01  -1.3514942E+00  -3.0065068E+00  -3.9564853E+00
   2.5172700E-01   6.8248966E-01  -3.3651522E+00  -3.9564853E+00
   2.4653100E-01   2.0242480E+00  -3.9166650E-01  -5.5438551E+00
   2.3407500E-01   7.3482940E-01   1.3830678E+00  -5.5438551E+00
   2.3561800E-01  -1.3514942E+00   7.0517960E-01  -5.5438551E+00
   2.3434900E-01  -1.3514942E+00  -1.4885126E+00  -5.5438551E+00
   2.3700200E-01   7.3482940E-01  -2.1663989E+00  -5.5438551E+00
   2.2986700E-01   1.5818329E-01  -3.9166650E-01  -6.1501756E+00
   2.5535000E-01  -4.4817214E+00  -4.1656685E+00   1.9404330E+00
   2.3862000E-01  -2.3953959E+00  -4.8435548E+00   1.9404330E+00
   2.4209300E-01  -4.4817214E+00  -5.6836627E+00   3.5306318E-01
   2.3394400E-01  -2.4477356E+00  -6.0423081E+00   3.5306318E-01
   2.3772800E-01  -4.4817214E+00  -5.6836627E+00  -1.6090355E+00
   2.3404700E-01  -2.4477356E+00  -6.0423081E+00  -1.6090355E+00
   2.4319000E-01  -4.4817214E+00  -4.1656685E+00  -3.1964054E+00
   2.3704900E-01  -2.3953959E+00  -4.8435548E+00  -3.1964054E+00
   2.4618800E-01  -2.9720420E+00  -3.0688224E+00  -3.8027258E+00
   2.3026600E-01  -2.3763191E+00  -1.3288270E+00   5.3335683E+00
   2.3185300E-01  -5.1025436E-01  -1.3288270E+00   4.7272478E+00
   2.3288600E-01  -1.7996730E+00   4.4590730E-01   4.7272478E+00
   2.2920100E-01  -1.7996730E+00  -3.1035594E+00   4.7272478E+00
   2.4448700E-01  -6.3356843E-02   6.1197831E-01   3.1398780E+00
   2.4860600E-01  -1.8520127E+00   1.6446588E+00   3.1398780E+00
   2.4464000E-01  -3.8859985E+00  -3.9436673E+00   3.1398780E+00
   2.3530100E-01  -1.8520127E+00  -4.3023127E+00   3.1398780E+00
   2.5047600E-01  -2.0060481E+00   2.6528200E+00   2.5648684E+00
   2.4126100E-01  -3.2954667E+00   4.4275543E+00   2.5648684E+00
   2.3870200E-01  -1.5591506E+00   4.5936253E+00   9.7749856E-01
   2.3303000E-01  -3.3478064E+00   5.6263058E+00   9.7749856E-01
   2.3997900E-01  -1.5591506E+00   4.5936253E+00  -9.8460015E-01
   2.3148900E-01  -3.3478064E+00   5.6263058E+00  -9.8460015E-01
   2.3832000E-01  -3.2954667E+00   4.4275543E+00  -2.5719700E+00
   2.4440700E-01  -2.1581786E+00   2.8524072E+00  -3.7760391E+00
   2.3605400E-01  -3.9468345E+00   3.8850877E+00  -3.7760391E+00
   2.5849700E-01  -3.9468345E+00  -2.0618838E+00  -3.7760391E+00
   2.4058700E-01  -2.6050761E+00   9.1160193E-01  -5.3634090E+00
   2.3082500E-01  -3.8944947E+00   2.6863362E+00  -5.3634090E+00
   2.4139000E-01  -5.9808183E+00   2.0084480E+00  -5.3634090E+00
   2.4785800E-01  -5.9808183E+00  -1.8524417E-01  -5.3634090E+00
   2.4183800E-01  -3.8944947E+00  -8.6313046E-01  -5.3634090E+00
   2.3312100E-01  -4.4711408E+00   9.1160193E-01  -5.9697294E+00
   2.6134400E-01   4.2390220E+00  -6.8202460E+00   2.6606681E+00
   2.5236900E-01   6.3253475E+00  -7.4981341E+00   2.6606681E+00
   2.7261800E-01   2.9114347E+00  -6.7560803E+00   1.0732982E+00
   2.5533600E-01   4.2390220E+00  -8.3382402E+00   1.0732982E+00
   2.4823000E-01   6.2730078E+00  -8.6968856E+00   1.0732982E+00
   2.5634300E-01   8.0616637E+00  -7.6642052E+00   1.0732982E+00
   2.5930700E-01   4.2390220E+00  -8.3382402E+00  -8.8880049E-01
   2.5263300E-01   6.2730078E+00  -8.6968856E+00  -8.8880049E-01
   2.6719500E-01   8.0616637E+00  -7.6642052E+00  -8.8880049E-01
   2.7503900E-01   4.2390220E+00  -6.8202460E+00  -2.4761703E+00
   2.6701500E-01   6.3253475E+00  -7.4981341E+00  -2.4761703E+00
   2.4120200E-01   1.1208985E+01  -4.2410289E+00  -2.3695274E-01
   2.4847500E-01   1.0502591E+01  -2.3002236E+00  -2.3695274E-01
   2.4502600E-01   1.0502591E+01  -6.1818342E+00  -2.3695274E-01
   2.4082900E-01   1.1208985E+01  -4.2410289E+00  -2.1990515E+00
   2.5148300E-01   1.0502591E+01  -2.3002236E+00  -2.1990515E+00
   2.8661700E-01   8.7139347E+00  -1.2675432E+00  -2.1990515E+00
   2.5688800E-01   8.7139347E+00  -7.2145146E+00  -2.1990515E+00
   2.4211100E-01   1.0502591E+01  -6.1818342E+00  -2.1990515E+00
   2.4849800E-01   1.0055693E+01  -4.2410289E+00  -3.7864213E+00
   2.7020200E-01   8.7662745E+00  -2.4662946E+00  -3.7864213E+00
   2.5315700E-01   8.7662745E+00  -6.0157632E+00  -3.7864213E+00
   2.6464100E-01   8.1896283E+00  -4.2410289E+00  -4.3927418E+00
   2.0682300E-01  -9.3223887E+00   2.1293243E-01   6.6533737E+00
   2.0006900E-01  -1.0832066E+01   1.3097785E+00   6.0470532E+00
   2.0031400E-01  -1.0832066E+01  -8.8391366E-01   6.0470532E+00
   2.1149700E-01  -1.0832066E+01   2.8277727E+00   4.4596834E+00
   2.0597000E-01  -1.2159655E+01   1.2456129E+00   4.4596834E+00
   2.0605500E-01  -1.2159655E+01  -8.1974802E-01   4.4596834E+00
   2.1179400E-01  -1.0832066E+01  -2.4019079E+00   4.4596834E+00
   2.3139000E-01  -1.2159655E+01   1.2456129E+00   2.4975847E+00
   2.2947700E-01  -1.2159655E+01  -8.1974802E-01   2.4975847E+00
   2.1234800E-01  -6.3192399E+00  -1.2830370E+00   6.8966476E+00
   2.2179400E-01  -4.4531752E+00  -1.2830370E+00   6.2903271E+00
   2.1104300E-01  -7.8289193E+00  -2.3798831E+00   6.2903271E+00
   2.1394200E-01  -5.7425938E+00  -3.0577694E+00   6.2903271E+00
   2.1911100E-01  -7.8289193E+00  -3.8978773E+00   4.7029573E+00
   2.2537000E-01  -5.7949336E+00  -4.2565228E+00   4.7029573E+00
   2.3777700E-01  -4.0062777E+00  -3.2238423E+00   4.7029573E+00
   2.5239100E-01  -5.7949336E+00  -4.2565228E+00   2.7408586E+00
   2.0944000E-01  -6.5322064E+00   2.0949748E+00   6.8836576E+00
   2.1691100E-01  -4.6661416E+00   2.0949748E+00   6.2773371E+00
   2.0768300E-01  -5.9555603E+00   3.8697091E+00   6.2773371E+00
   2.0669500E-01  -8.0418839E+00   3.1918209E+00   6.2773371E+00
   2.3661400E-01  -3.5128494E+00   2.0949748E+00   4.6899673E+00
   2.2594500E-01  -4.2192441E+00   4.0357801E+00   4.6899673E+00
   2.1734100E-01  -6.0079000E+00   5.0684605E+00   4.6899673E+00
   2.1375200E-01  -8.0418839E+00   4.7098151E+00   4.6899673E+00
   2.4387700E-01  -6.0079000E+00   5.0684605E+00   2.7278686E+00
   2.1176700E-01  -1.2164051E+01   3.3540576E+00   2.2657172E+00
   2.3457400E-01  -1.2164051E+01   1.1603655E+00   2.2657172E+00
   2.0173100E-01  -1.2164051E+01   4.8720519E+00   6.7834738E-01
   1.9897700E-01  -1.3491640E+01   3.2898920E+00   6.7834738E-01
   2.1127200E-01  -1.3491640E+01   1.2245311E+00   6.7834738E-01
   2.0268600E-01  -1.2164051E+01   4.8720519E+00  -1.2837513E+00
   1.9661500E-01  -1.3491640E+01   3.2898920E+00  -1.2837513E+00
   2.0653800E-01  -1.3491640E+01   1.2245311E+00  -1.2837513E+00
   2.0726600E-01  -1.2164051E+01   3.3540576E+00  -2.8711212E+00
   2.1582100E-01  -1.2164051E+01   1.1603655E+00  -2.8711212E+00
   2.2276400E-01  -7.3972096E+00   6.0750382E+00   2.4446421E+00
   2.1598200E-01  -9.4835332E+00   5.3971500E+00   2.4446421E+00
   2.3152700E-01  -5.6608934E+00   6.2411092E+00   8.5727230E-01
   2.0907100E-01  -7.4495493E+00   7.2737897E+00   8.5727230E-01
   2.0207200E-01  -9.4835332E+00   6.9151442E+00   8.5727230E-01
   2.2720200E-01  -5.6608934E+00   6.2411092E+00  -1.1048264E+00
